c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,target
0.4736007040181177,0.9707851812211763,0.7374189335029845,0.46649997311521174,0.555882877634133,0.487028694519816,0.778847179079735,0.2795303451585447,0.49065558597068504,0.29004840583454383,0
0.3628782402157774,0.5105475594457253,0.020210240537029245,0.4230569925631217,0.6125517880589112,0.893169904192641,0.3878641647663511,0.26154398702416637,0.9647361905422394,0.6181423634011393,1
0.5074433068110961,0.6286783604481893,0.041178856993496105,0.48832372328957196,0.5882020433830513,0.21106376712275754,0.9752765801639212,0.9511060943511586,0.8893413000263224,0.02587684072460894,0
0.323345198986143,0.8712080996464611,0.3091545356135331,0.10066814493530718,0.6684589315199617,0.8291555035951014,0.17869479337194982,0.8779654935370971,0.9181290053056677,0.539366614340658,1
0.26508770855091446,0.7264054517763304,0.5089339540634575,0.8100760774635588,0.5922822056604973,0.9687336113177387,0.03159965277315879,0.25101589495425125,0.9147300244113222,0.30332393880996467,1
0.03541458805262865,0.9274888467491409,0.8146297022011572,0.6749794055984072,0.9347448034550241,0.39679827501195275,0.9904749846496903,0.9539719944691206,0.13483679726366005,0.6903049572022332,0
0.9197178070689652,0.8351997809041709,0.708874233399211,0.14676871926385215,0.07447692256245131,0.31393457613832654,0.10860815222660125,0.3973930037582325,0.07047538373406836,0.4678674607466997,0
0.7789172308810355,0.3532875950125661,0.06053009473792337,0.23862606453929192,0.02310084156732317,0.7071290115343927,0.17422759404407684,0.39442366658988015,0.6709445277890375,0.1681912434191012,0
0.5400136743285635,0.19429885083088716,0.9101276518812091,0.49014222309724675,0.6359181535113433,0.2573928189933927,0.8162577062479235,0.5795804045939843,0.5991265291817226,0.9938177024498616,0
0.00023998505834277317,0.8648140456070621,0.15184905815530314,0.8956157934535458,0.2631160095973806,0.8047288867096718,0.48470859615013495,0.39890856765364924,0.9752992654855073,0.4838047842222448,0
0.3994223637009705,0.8826827470180719,0.5845338804867005,0.615588569661959,0.40193970278958346,0.4320678240784782,0.019918297398039186,0.9385852956854874,0.6654953963665903,0.10904105979826284,1
0.9647888440398392,0.3246246323299019,0.7996046400184704,0.8089560646699264,0.7502189033796954,0.9025131622972866,0.06543948270842437,0.59255483380834,0.2818500141776914,0.05277937321760284,0
0.3017684256052581,0.028568281308676835,0.021418918425052724,0.48493518954258874,0.9466591393371036,0.6081450166171641,0.02845360918125106,0.15465707984949828,0.03311744762184354,0.6632827825990139,1
